code,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
1708,1,DALBERT H,Inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8049,1,VECINO M ,Inter,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2102,1,EKONG T,Udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3400,1,NUYTINCK B,Udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8085,1,VELOSO M,Genoa,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1587,1,CHIELLINI G,Juventus,D,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
8130,1,VERETOUT J,Fiorentina,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3271,1,MORETTI E,Torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6892,1,MEITE S,Torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2122,1,FARAGO P,Cagliari,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4513,1,BARELLA N,Cagliari,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
8220,1,ZAJC M ,Empoli,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
6874,1,MAZZITELLI L,Genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1537,1,CEPPITELLI L,Cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8277,1,ZIELINSKI P ,Napoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6930,1,MILINKOVIC S,Lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8292,1,ANTENUCCI M ,Spal,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7822,1,SORIANO R,Torino,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7793,1,SODDIMO D ,Frosinone,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7318,1,PESSINA M,Atalanta,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4667,1,BEHRAMI V,Udinese,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7364,1,POLI A,Bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7403,1,PRAET D,Sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7431,1,PULGAR E,Bologna,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7275,1,PERISIC I,Inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4677,1,BENASSI M,Fiorentina,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1863,1,DE VRIJ S,Inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3312,1,MURRU N,Sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7466,1,RADOVANOVIC I ,Chievo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3333,1,MUSACCHIO M,Milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7505,1,RAMIREZ G,Sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1835,1,DE SILVESTRI L,Torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4585,1,BARRETO E,Sampdoria,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
7523,1,RIGONI L ,Parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7549,1,RIGONI N ,Chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7587,1,RINCON T ,Torino,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1976,1,DI LORENZO G,Empoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7603,1,ROG M ,Napoli,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7191,1,PASALIC M,Atalanta,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
7166,1,PAROLO M,Lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4598,1,BASELLI D,Torino,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1759,1,DANILO L,Bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7729,1,SCHIATTARELLA P ,Spal,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2006,1,DIJKS M,Bologna,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7770,1,SENSI S ,Sassuolo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7098,1,OMEONGA S,Genoa,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7096,1,OBI J,Chievo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7227,1,PASTORE J,Roma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4502,1,BARAK A,Udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8347,1,BABACAR K ,Sassuolo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1499,1,CASTAGNE T,Atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6532,1,LAZOVIC D,Genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2295,1,GAGLIOLO R,Parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1283,1,BIRASCHI D,Genoa,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8776,1,DEFREL G,Sampdoria,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4371,1,ACQUAH A,Empoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1256,1,BIRAGHI C,Fiorentina,D,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
8826,1,DI FRANCESCO F ,Sassuolo,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8827,1,DI GAUDIO A ,Parma,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8844,1,DJORDJEVIC F ,Chievo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6497,1,LAXALT D,Milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3485,1,PASQUAL M,Empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8855,1,DYBALA P ,Juventus,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6467,1,KURTIC J,Spal,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
8732,1,CUTRONE P,Milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6413,1,KRUNIC R,Empoli,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
8927,1,EL SHAARAWY S ,Roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4340,1,ZUKANOVIC E,Genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1190,1,BASTOS J,Lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8952,1,FALCINELLI D ,Bologna,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6362,1,KHEDIRA S,Juventus,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
8967,1,FARIAS D ,Cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3212,1,MILENKOVIC N,Fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2361,1,GOBBI M,Parma,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4852,1,BESSA D,Genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9073,1,GOMEZ A ,Atalanta,A,16.5,8.5,6.0,0.0,0.0,0.0,0.0,2.0,2018-19
2377,1,GOLDANIGA E,Frosinone,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6345,1,KESSIE F,Milan,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9089,1,HIGUAIN G,Milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8912,1,DZEKO E ,Roma,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6555,1,LAZZARI M,Spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8683,1,CIANO C ,Frosinone,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1325,1,BONUCCI L,Juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2158,1,FAZIO F,Roma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4779,1,BERENGUER A,Torino,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8357,1,BARROW M ,Atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6822,1,MANDRAGORA R,Udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6774,1,MAIELLO R,Frosinone,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8396,1,BELOTTI A ,Torino,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8409,1,BERARDI D,Sassuolo,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
4468,1,BAKAYOKO T,Milan,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4459,1,BADELJ M,Lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6757,1,MAGNANELLI F,Sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8444,1,BOGA J ,Sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1438,1,CANCELO J,Juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2208,1,FELIPE D,Spal,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
8505,1,CALLEJON J ,Napoli,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
3251,1,MOLINARO C,Frosinone,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
