,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
11369,16,liverani,lecce,0,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
11692,16,t motta,genoa,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9212,16,cornelius a,parma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10312,16,pazzini g,verona,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
6316,16,jankovic m,spal,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1159,16,biraghi c,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2360,16,ghiglione p,genoa,D,3.5,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5476,16,cigarini l,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1851,16,de sciglio m,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11147,16,fonseca,roma,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8485,16,valoti m,spal,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7573,16,pessina m,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3740,16,radu s,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11517,16,mihajlovic,bologna,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3430,16,musacchio m,milan,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
253,16,gollini p,atalanta,P,4.5,6.5,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
4277,16,ter avest,udinese,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8462,16,valero b,inter,C,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4927,16,bentancur r,juventus,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2547,16,hernandez t,milan,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9705,16,insigne l,napoli,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5337,16,cassata f,genoa,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7666,16,poli a,bologna,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9417,16,falco f,lecce,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3299,16,mbaye i,bologna,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7706,16,pulgar e,fiorentina,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9675,16,immobile c,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2516,16,hateboer h,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7747,16,rabiot a,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
