,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,gol_fatto_subito,gol_su_rigore,assist,assist_da_fermo
5928,24,freuler r,atalanta,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6953,24,milinkovic s,lazio,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
6804,24,magnanelli f,sassuolo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3998,24,skriniar m,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2231,24,gamberini a,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4765,24,benali a,crotone,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8705,24,cornelius a,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1082,24,bani m,chievo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8510,24,brignola e,benevento,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1159,24,benatia m,juventus,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
765,24,viviano e,sampdoria,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-18,,,,
6060,24,grassi a,spal,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6137,24,hamsik m,napoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2054,24,faraoni d,crotone,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3830,24,salamon b,spal,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
